uuid,dem_education_level,dem_full_time_job,normalized_job_code
8cc018b0-de4b-0133-0bcd-0a81e8b09a82,high,yes,375017ea3a1a97f5ea676def873bb25b
7c2e43a0-da1a-0133-acda-0a81e8b09a82,low,no,
b9dbcc80-da2b-0133-481e-0a81e8b09a82,medium,no,
89977480-d9bc-0133-b906-0a81e8b09a82,no,yes,1dd2fdc8a3981f2a1d8f0ca173952bb8
11cf6080-dc70-0133-8090-0a81e8b09a82,medium,yes,e605336f5a43949cb6b18054fd1937f1
6aa21d60-deec-0133-20b3-0a81e8b09a82,,no,
08159f30-dbf8-0133-74d8-0a81e8b09a82,low,yes,800b621aab5dac18f4caef621fa43a49
5f772780-dd7d-0133-5e86-0a81e8b09a82,high,no,
996a7cf0-d98b-0133-a5d7-0a81e8b09a82,high,no,
88d64de0-d9eb-0133-a46b-0a81e8b09a82,low,no,
d2a9a650-d964-0133-4678-0a81e8b09a82,medium,yes,d06dfb43c95b585a89ae556c9221b573
7a3932b0-da34-0133-8caf-0a81e8b09a82,high,no,
54fcb0f0-da1c-0133-efb9-0a81e8b09a82,low,yes,a12a16280e22220f9354333f6fe1b22a
c7ec06f0-d94c-0133-0451-0a81e8b09a82,low,yes,477b53ef09d37f098d5ed74f47fcbaec
1ab814f0-dba0-0133-a033-0a81e8b09a82,no,yes,e2f68bf748aea2c7d2254550c0c92b23
994969a0-dca5-0133-b593-0a81e8b09a82,low,no,
5f4a8e40-dbd4-0133-e162-0a81e8b09a82,high,yes,45033f83b6e0309eca9bcd76917f15d0
fc590270-de6a-0133-72af-0a81e8b09a82,low,no,
2152fc80-d9ae-0133-8d7e-0a81e8b09a82,medium,no,
1d39d3e0-dbb6-0133-4ab6-0a81e8b09a82,medium,yes,141ddda0f613da65a280521247de0e9f
51f5c5c0-de40-0133-1e9a-0a81e8b09a82,low,yes,3ddea1b52e520996e4ec9fb70dc8b86b
18a82df0-d8ec-0133-a131-0a81e8b09a82,high,yes,6408c0d7c7faa4ced47fbc8474698126
eef7cc30-de4e-0133-1438-0a81e8b09a82,low,yes,07b7555fa790debaf5b04d1409ad5f11
296e4480-d8e9-0133-c3ad-0a81e8b09a82,,no,
5984b3b0-d8e0-0133-b014-0a81e8b09a82,medium,yes,36675c937946c8a4fc5de7d0b4c850de
81f6b2a0-de56-0133-2850-0a81e8b09a82,medium,yes,d71c4164c99a5f9bca773e755a72f40f
19aab9f0-da4f-0133-ee5a-0a81e8b09a82,medium,yes,a4d5b8b38f9513825d0d94a981ebe962
7baa89f0-da4e-0133-4b77-0a81e8b09a82,low,no,
e1bf7cc0-dd32-0133-4401-0a81e8b09a82,medium,no,
faf3d380-db0f-0133-0e2e-0a81e8b09a82,medium,yes,5e93fd1a58c8a67b295f69d87d1a940d
4cef99b0-db53-0133-e7f4-0a81e8b09a82,low,yes,897ef18a9321616495831a4b4b0c1bb2
1325ab20-da32-0133-b1b6-0a81e8b09a82,,no,
c5471020-dad1-0133-487e-0a81e8b09a82,low,yes,122f24bc911a79c26ca66210557dda07
18a1c2e0-d8ed-0133-39aa-0a81e8b09a82,high,yes,36675c937946c8a4fc5de7d0b4c850de
ce058e90-daf1-0133-4389-0a81e8b09a82,low,no,
2a8036a0-d963-0133-41de-0a81e8b09a82,low,no,
80def8a0-da1e-0133-f7df-0a81e8b09a82,medium,no,
baa9e380-da6a-0133-0cb9-0a81e8b09a82,low,yes,19e384e977796c25780d8c28b12089c4
b189d930-dd84-0133-d6b4-0a81e8b09a82,high,yes,76b0ba6af40991629e20dff36edd02a5
3174f780-d9f2-0133-2fe7-0a81e8b09a82,,yes,07b7555fa790debaf5b04d1409ad5f11
93241690-da78-0133-8088-0a81e8b09a82,high,yes,76385cb24e831b3364279b9de5641d8f
28b98f30-dc00-0133-fa39-0a81e8b09a82,low,no,
b8d60b60-d9f1-0133-2f47-0a81e8b09a82,high,yes,775190277a849cba701b306a7b374c0a
106af710-d93c-0133-bebf-0a81e8b09a82,medium,yes,970eb38c7b3eb080466052ea994af189
98a08950-de43-0133-5c1f-0a81e8b09a82,medium,no,
0b5eea70-dcdd-0133-3f72-0a81e8b09a82,medium,yes,477b53ef09d37f098d5ed74f47fcbaec
6ad69c40-da2f-0133-a693-0a81e8b09a82,low,no,
