uuid,age,gender,has_children,age_group
902829b0-de49-0133-6b2f-0a81e8b09a82,42,female,no,40_65
c46dd5d0-daf5-0133-326e-0a81e8b09a82,31,female,no,26_39
674d27f0-db16-0133-e93d-0a81e8b09a82,14,female,no,14_25
e2999ae0-dad7-0133-12f2-0a81e8b09a82,30,female,no,26_39
482c72f0-d902-0133-c73e-0a81e8b09a82,41,female,yes,40_65
9a2478d0-da5f-0133-c83a-0a81e8b09a82,32,male,yes,26_39
8034c360-db44-0133-8ef7-0a81e8b09a82,16,female,no,14_25
88424430-defa-0133-0f5f-0a81e8b09a82,40,female,yes,40_65
5e4592b0-de0c-0133-f22f-0a81e8b09a82,40,female,yes,40_65
d73155f0-d9ba-0133-fe9f-0a81e8b09a82,26,female,yes,26_39
1926eaf0-dd85-0133-d85d-0a81e8b09a82,44,female,yes,40_65
52a3acf0-da6f-0133-e888-0a81e8b09a82,28,female,no,26_39
411d4bc0-deef-0133-795b-0a81e8b09a82,40,female,yes,40_65
154739b0-dced-0133-c4db-0a81e8b09a82,40,male,yes,40_65
10e5df00-dd3a-0133-0ead-0a81e8b09a82,36,female,no,26_39
a5396df0-d98e-0133-f2a3-0a81e8b09a82,36,female,yes,26_39
a5355130-da8c-0133-c7ee-0a81e8b09a82,19,female,no,14_25
39d48260-dd36-0133-0358-0a81e8b09a82,45,female,yes,40_65
b63ed850-dcb8-0133-8926-0a81e8b09a82,25,male,no,14_25
1afd0e10-d9ae-0133-8d6b-0a81e8b09a82,15,female,no,14_25
f4824dd0-dafa-0133-a87a-0a81e8b09a82,23,female,no,14_25
4e1ac160-d982-0133-758d-0a81e8b09a82,33,male,no,26_39
96c62760-d8d4-0133-62ed-0a81e8b09a82,44,male,yes,40_65
fd9e7290-dad7-0133-1337-0a81e8b09a82,27,female,yes,26_39
2b4a10d0-db2d-0133-d818-0a81e8b09a82,43,male,no,40_65
c9337360-db95-0133-d531-0a81e8b09a82,40,male,yes,40_65
c75ffdb0-d95d-0133-765b-0a81e8b09a82,45,female,yes,40_65
9ffc7390-dba5-0133-259b-0a81e8b09a82,43,male,yes,40_65
ce2197d0-da69-0133-065d-0a81e8b09a82,40,male,yes,40_65
35610710-dc10-0133-0ad8-0a81e8b09a82,47,male,no,40_65
76c4d450-da3b-0133-dedb-0a81e8b09a82,48,male,yes,40_65
3c862650-da54-0133-8d15-0a81e8b09a82,15,female,no,14_25
89b205e0-d975-0133-3945-0a81e8b09a82,39,male,no,26_39
ccae52d0-dc67-0133-f45f-0a81e8b09a82,54,male,no,40_65
d5ce2260-dbb3-0133-bcd9-0a81e8b09a82,42,male,yes,40_65
2bc14200-dcbd-0133-5a24-0a81e8b09a82,34,female,yes,26_39
f6c99d10-d8f8-0133-b5eb-0a81e8b09a82,16,male,no,14_25
5c67f030-dcc7-0133-e8f6-0a81e8b09a82,48,male,yes,40_65
28c4dea0-da77-0133-7804-0a81e8b09a82,24,female,no,14_25
9e99d970-d9b8-0133-d807-0a81e8b09a82,29,female,no,26_39
079d2660-daf1-0133-40dd-0a81e8b09a82,23,female,no,14_25
2dfa5f60-d941-0133-c589-0a81e8b09a82,42,female,yes,40_65
ad832440-dae3-0133-3472-0a81e8b09a82,45,female,no,40_65
11e48430-d9cc-0133-0caa-0a81e8b09a82,42,male,no,40_65
0b072e10-daf8-0133-9680-0a81e8b09a82,28,male,yes,26_39
365ce720-d9bb-0133-b3f4-0a81e8b09a82,40,male,yes,40_65
720f84e0-da1a-0133-ac9e-0a81e8b09a82,22,male,no,14_25
cbd8fe30-dbb5-0133-49be-0a81e8b09a82,27,male,yes,26_39
55dc1140-da1b-0133-af90-0a81e8b09a82,45,male,yes,40_65
9943e950-dd22-0133-9adf-0a81e8b09a82,52,male,yes,40_65
18e7ba30-d9dc-0133-9671-0a81e8b09a82,17,male,no,14_25
fa4adae0-dc1f-0133-dc65-0a81e8b09a82,31,female,no,26_39
2fae8710-d99f-0133-9ac2-0a81e8b09a82,25,female,yes,14_25
78156750-d949-0133-1a02-0a81e8b09a82,21,male,no,14_25
81630900-dcb8-0133-ef51-0a81e8b09a82,25,male,no,14_25
2bc31fc0-dacd-0133-7ae0-0a81e8b09a82,38,male,yes,26_39
5fcac6c0-dad5-0133-3d17-0a81e8b09a82,47,male,yes,40_65
4f083df0-da5a-0133-3d06-0a81e8b09a82,42,male,yes,40_65
ac53fcf0-dcab-0133-cbb5-0a81e8b09a82,26,male,no,26_39
05ec6620-da6f-0133-e6b2-0a81e8b09a82,22,female,no,14_25
6c646dd0-d988-0133-9904-0a81e8b09a82,38,male,no,26_39
92c27100-d9d0-0133-c4db-0a81e8b09a82,43,female,yes,40_65
2fe43a00-d941-0133-c58e-0a81e8b09a82,42,female,yes,40_65
49f476a0-dadf-0133-25cc-0a81e8b09a82,44,male,no,40_65
05fde350-dcaa-0133-c61c-0a81e8b09a82,46,male,no,40_65
b32e3370-db21-0133-0eff-0a81e8b09a82,48,female,no,40_65
